name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Heine Bruseth;5' 10\";;4.6.2004 (20);Gjemnes, Norway;Midfielder;;;
Lachlan Brook;5' 10\";;2.8.2001 (24);Gawler, Australia;Midfielder;;;
Gastón Brugman;5' 9\";150 lbs;9.7.1992 (32);Rosario, Uruguay;Midfielder;Right;Senior;
Javain Brown;5' 11\";174 lbs;3.9.1999 (26);Kingston, Jamaica;Defender;Right;Senior;
Tristan Brown;;;10.17.2007 (17);;Midfielder;;;
Sébastian Breza;6' 4\";192 lbs;3.15.1998 (27);Ottawa, ON, Canada;Goalkeeper;Right;Supplemental Slots 21-24;
Ola Brynhildsen;5' 9\";154 lbs;4.27.1999 (25);Bærum, Norway;Forward;;;
Luke Brennan;5' 11\";150 lbs;2.24.2005 (20);Atlanta, GA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Andrew Brody;5' 10\";154 lbs;5.3.1995 (29);Orlando, FL, USA;Defender;;Supplemental Slots 21-24;Homegrown
Jesús Bueno;5' 10\";163 lbs;4.15.1999 (25);Barquisimeto, Venezuela;Midfielder;Right;Senior;International
Sergio Busquets;6' 2\";163 lbs;7.16.1988 (36);Badia del Vallès, Spain;Midfielder;Right;Senior;Designated Player, International
Nathan Byrne;5' 11\";185 lbs;6.5.1992 (32);St Albans, England;Defender;;Senior;
Noel Buck;5' 11\";159 lbs;4.5.2005 (20);Arlington, MA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Pavel Bucha;5' 10\";154 lbs;3.11.1998 (27);Mělník, Czech Republic;Midfielder;;;
Dawid Bugaj;6' 0\";;7.9.2004 (20);Sosnowiec, Poland;Defender;;;
Teal Bunbury;6' 1\";192 lbs;2.27.1990 (35);Hamilton, ON, Canada;Forward;Both;Senior;
Evan Bush;6' 1\";187 lbs;3.6.1986 (39);Concord, OH, USA;Goalkeeper;;Supplemental Slots 21-24;
Roman Bürki;6' 2\";187 lbs;11.14.1990 (34);Münsingen, Switzerland;Goalkeeper;Right;Senior;
Brandon Bye;6' 0\";174 lbs;11.29.1995 (29);Portage, MI, USA;Defender;;Senior;
;;;;;;;;
Kévin Cabral;6' 1\";152 lbs;7.10.1999 (25);Paris, France;Forward;;Senior;International, Designated Player
Gustavo Caraballo;;;8.29.2008 (16);;Midfielder;;;
Wiki Carmona;5' 8\";157 lbs;2.24.2003 (22);unknown, Venezuela;Midfielder;Left;Supplemental Slots 21-24;
Antonio Juan Carrera;6' 4\";159 lbs;3.15.2004 (21);Pachuca De Soto, Mexico;Goalkeeper;;Signed;Homegrown
Felipe Carballo;5' 10\";159 lbs;10.4.1996 (28);Montevideo, Uruguay;Midfielder;Right;;
Leo Campana;6' 1\";163 lbs;7.24.2000 (24);Guayaquil, Ecuador;Forward;Left;Senior;
George Campbell;6' 2\";185 lbs;6.22.2001 (23);Chester, PA, USA;Defender;;Supplemental Slots 25-28;Homegrown
Reggie Cannon;5' 11\";163 lbs;6.11.1998 (26);Chicago, IL, USA;Defender;;;
Drake Callender;6' 3\";194 lbs;10.7.1997 (27);Sacramento, CA, USA;Goalkeeper;Right;Senior;Homegrown
Maxime Chanot;6' 1\";172 lbs;11.21.1989 (35);Nancy, France;Defender;;Senior;
Julio Cascante;6' 1\";165 lbs;10.3.1993 (31);Puerto Limón, Costa Rica;Defender;Right;Senior;
Jacob Castro;6' 4\";190 lbs;12.18.1999 (25);Tukwila, WA, USA;Goalkeeper;;Supplemental Slots 25-28;Homegrown
Dylan Chambost;5' 10\";154 lbs;8.19.1997 (27);Annecy, France;Midfielder;Left;Senior;International
Nico Cavallo;;;12.27.2001 (23);Richmond, VA, USA;Defender;;;
Austin Causey;6' 1\";174 lbs;8.20.2001 (23);Concord, USA;Goalkeeper;;;
Brayan Ceballos;6' 0\";161 lbs;5.24.2001 (23);Santiago de Cali, Colombia;Defender;;;
Edwin Cerrillo;5' 9\";174 lbs;10.3.2000 (24);Waco, TX, USA;Midfielder;;Senior;Homegrown
Roman Celentano;6' 3\";201 lbs;9.14.2000 (24);Naperville, IL, USA;Goalkeeper;;Supplemental Slots 21-24;Generation adidas
Máximo Carrizo;;;2.28.2008 (17);New York City, NY, USA;Midfielder;;Signed;Homegrown
Yevhen Cheberko;6' 0\";146 lbs;1.23.1998 (27);Melitopol, Ukraine;Defender;Left;Senior;International
Noah Cobb;6' 1\";165 lbs;7.20.2005 (19);Chattanooga, TN, USA;Defender;;Supplemental Slots 29-30;Homegrown
Josh Cohen;6' 1\";174 lbs;8.18.1992 (32);Mountain View, CA, USA;Goalkeeper;Left;;
Dominik Chong Qui;;;12.29.2007 (17);;Defender;;;
Caden Clark;5' 11\";161 lbs;5.27.2003 (21);Medina, MN, USA;Midfielder;;Senior;
Alonso Coello;6' 1\";181 lbs;10.12.1999 (25);Madrid, Spain;Midfielder;;Supplemental Slots 25-28;International
Stefan Chirila;;;1.15.2007 (18);Allentown, PA, USA;Forward;;;
Markus Cimermancic;;;10.1.2004 (20);Kitchener, Ontario, Canada;Midfielder;;;
Stefan Cleveland;6' 2\";185 lbs;5.25.1994 (30);Dayton, OH, USA;Goalkeeper;;Senior;
Diego Chara;5' 8\";150 lbs;4.5.1986 (39);Cali, Colombia;Midfielder;Right;Senior;
;;;;;;;;
Brandan Craig;6' 1\";159 lbs;4.7.2004 (20);Philadelphia, PA, USA;Defender;;;
Pedro Cruz;6' 2\";;3.5.2004 (21);;Goalkeeper;;;
Benjamin Cremaschi;6' 0\";159 lbs;3.2.2005 (20);unknown, USA;Midfielder;;Supplemental Slots 21-24;Homegrown
Maxime Crépeau;5' 11\";194 lbs;5.11.1994 (30);Greenfield Park, QC, Canada;Goalkeeper;Right;Senior;International
Carlos Miguel Coronel;6' 4\";194 lbs;12.29.1996 (28);Corumbá, Brazil;Goalkeeper;Right;Senior;
Christopher Cupps;6' 1\";174 lbs;5.26.2008 (16);Chicago, IL, USA;Defender;;;Homegrown
Andrés Cubas;5' 4\";132 lbs;5.11.1996 (28);Campo Grande, Argentina;Midfielder;Right;Senior;International, Designated Player
Matthew Corcoran;6' 0\";170 lbs;2.17.2006 (19);Dallas, TX, USA;Midfielder;;;
Jake Davis;5' 10\";154 lbs;1.3.2002 (23);Rochester, USA;Midfielder;Right;Supplemental Slots 25-28;Homegrown
Mikkel Desler;6' 0\";161 lbs;2.19.1995 (30);Assens, Denmark;Defender;Right;Senior;International
José Artur de Lima Júnior;5' 11\";150 lbs;3.11.1996 (29);Brumado, Brazil;Midfielder;Right;Senior;
Pedro de la Vega;5' 10\";163 lbs;2.7.2001 (24);Olavarría, Argentina;Forward;;;Designated Player
Jonathan Dean;5' 8\";159 lbs;5.15.1997 (27);Macon, GA, USA;Midfielder;;Supplemental Slots 21-24;
Marco Delgado;5' 9\";146 lbs;5.16.1995 (29);Glendora, CA, USA;Midfielder;;Senior;
Djibril Diani;6' 5\";;2.11.1998 (27);Créteil, France;Midfielder;;;International
Jefferson Diaz;6' 1\";183 lbs;12.5.2000 (24);San Andrés, Colombia;Defender;;Senior;International
Patrickson Delgado;5' 11\";168 lbs;10.17.2003 (21);Ibarra, Ecuador;Midfielder;;;
Daniel De Sousa Britto;6' 2\";205 lbs;5.6.1994 (30);Barra do Garças, Brazil;Goalkeeper;;Senior;International
Luis Diaz Espinoza;5' 9\";159 lbs;12.6.1998 (26);Nicoya, Costa Rica;Midfielder;;;
Hamady Diop;6' 0\";;12.26.2001 (23);Dakar, Senegal;Defender;;Supplemental Slots 25-28;Generation adidas, International
Derek Dodson;6' 1\";168 lbs;11.3.1998 (26);Aurora, IL, USA;Defender;;Signed;
Souleyman Doumbia;5' 9\";161 lbs;9.24.1996 (28);Paris, France;Defender;;;
Ronald Donkor;5' 8\";;11.20.2004 (20);Accra, Ghana;Midfielder;;Senior;International
;;;;;;;;
Manu Duah;6' 4\";;;Kumasi, Ghana;Midfielder;;;
Chris Donovan;6' 0\";163 lbs;8.8.2000 (24);Paoli, USA;Forward;;Drafted;
Griffin Dorsey;6';159 lbs;3.5.1999 (26);Evergreen, CO, USA;Defender;Right;Senior;Generation adidas
CJ dos Santos;6' 3\";168 lbs;8.24.2000 (24);Philadelphia, PA, USA;Goalkeeper;;Supplemental Slots 21-24;
Griffin Dillon;5' 11\";159 lbs;4.25.2003 (21);San Diego, CA, USA;Midfielder;;;
Chris Durkin;6' 0\";165 lbs;2.8.2000 (25);Hampton, VA, USA;Midfielder;Right;Supplemental Slots 25-28;Homegrown, U22 Initiative
Raheem Edwards;5' 8\";150 lbs;7.17.1995 (29);Toronto, ON, Canada;Defender;Left;Senior;
Daniel Edelman;5' 10\";141 lbs;4.28.2003 (21);unknown, USA;Midfielder;Both;Supplemental Slots 29-30;Homegrown
Bryce Duke;5' 7\";146 lbs;2.28.2001 (24);Peoria, AZ, USA;Midfielder;;Senior;Homegrown
Jack Elliott;6' 6\";183 lbs;8.25.1995 (29);London, England;Defender;;Senior;
Matthew Edwards;5' 10\";;2.16.2003 (22);Apex, NC, USA;Defender;;;
Morris Duggan;6' 4\";205 lbs;10.24.2000 (24);Munich, Germany;Defender;;Supplemental Slots 25-28;International
Michael Edwards;6' 4\";176 lbs;11.27.2000 (24);Woodbridge, VA, USA;Defender;;Supplemental Slots 21-24;Homegrown
Earl Edwards Jr.;6' 3\";205 lbs;1.24.1992 (33);San Diego, CA, USA;Goalkeeper;Right;Supplemental Slots 21-24;
Noah Eile;6' 5\";;7.19.2002 (22);Lund, Sweden;Defender;;;International
Emeka Eneli;5' 9\";;10.18.1999 (25);unknown, USA;Midfielder;;Supplemental Slots 25-28;
Ramiro Enrique;5' 7\";150 lbs;5.4.2001 (23);Burzaco, Argentina, Argentina;Forward;;Senior;U22 Initiative
Lukas Engel;5' 11\";;12.14.1998 (26);Kastrup, Denmark;Defender;;;
Ascel Essengue;6' 1\";170 lbs;4.30.2003 (21);Yaoundé, Cameroon;Defender;;;
Marco Farfan;5' 10\";159 lbs;11.12.1998 (26);Portland, OR, USA;Defender;Left;Senior;
Maximiliano Falcón;5' 10\";176 lbs;5.1.1997 (27);Paysandú, Uruguay;Defender;Right;;
Diego Fagúndez;5' 8\";141 lbs;2.14.1995 (30);Montevideo, Uruguay;Midfielder;;Senior;
Derrick Etienne Jr.;5' 10\";170 lbs;11.25.1996 (28);Richmond, VA, USA;Midfielder;Right;Supplemental Slots 25-28;
Cristian Espinoza;5' 9\";161 lbs;4.3.1995 (30);Buenos Aires, Argentina;Midfielder;Right;Senior;Designated Player
Ali Fadal;;;1.14.2004 (21);Kumasi, Ghana;Midfielder;;;
Bryant Farkarlun;;;7.14.2001 (23);;Forward;;Supplemental Slots 21-24;
Andrew Farrell;5' 11\";185 lbs;4.2.1992 (33);Louisville, KY, USA;Defender;Right;Senior;
Ilay Feingold;5' 9\";141 lbs;8.23.2004 (20);Netanya, Israel;Defender;;;U22 Initiative
Mohamed Farsi;5' 10\";152 lbs;12.16.1999 (25);Montreal, Canada;Defender;Right;Senior;International
Jordan Farr;6' 1\";181 lbs;10.5.1994 (30);Salem, OR, USA;Goalkeeper;;;
;;;;;;;;
Omir Fernández;5' 7\";141 lbs;2.8.1999 (26);Bronx, NY, USA;Midfielder;;Senior;Homegrown
Jesús Ferreira;5' 8\";150 lbs;12.24.2000 (24);Santa Marta, Colombia;Forward;Right;Senior;
Joaquín Fernández;6' 3\";;5.31.1996 (28);Huércal de Almería, Spain;Defender;;;
Nicolas Fleuriau Chateau;;;5.21.2002 (22);;Forward;;;
Kobe Franklin;5' 6\";152 lbs;5.10.2003 (21);East York, Canada;Defender;;Signed;Homegrown, International
CJ Fodrey;6' 2\";159 lbs;2.10.2004 (21);San Jose, CA, USA;Forward;;Supplemental Slots 25-28;Generation adidas
Ian Fray;6' 0\";159 lbs;8.31.2002 (22);unknown, USA;Defender;;Signed;Homegrown
Max Floriani;6' 2\";187 lbs;2.6.2003 (22);Gurnee, IL, USA;Defender;;;
Matt Freese;6' 3\";194 lbs;9.2.1998 (26);Wayne, PA, USA;Goalkeeper;;Supplemental Slots 25-28;Homegrown
Wayne Frederick;6' 0\";146 lbs;6.13.2004 (20);Cabin John, MD, USA;Forward;;;
Jimer Fory;6' 2\";179 lbs;5.24.2002 (22);Santander de Quilichao, Colombia;Defender;Left;;
Ajani Fortune;5' 9\";165 lbs;12.30.2002 (22);Raleigh, NC, USA;Midfielder;Right;Supplemental Slots 29-30;Homegrown
Gilberto Flores;6' 0\";;4.1.2003 (22);Asunción, Paraguay;Defender;;;
Mamadou Fofana;6' 1\";165 lbs;1.21.1998 (27);Bamako, Mali;Defender;Both;;
Jeffrey Gal;6' 2\";;4.6.1993 (31);Chicago, IL, USA;Goalkeeper;;Supplemental Slots 21-24;
Luka Gavran;6' 6\";201 lbs;5.9.2000 (24);Hamilton, Ontario, Canada;Goalkeeper;;;
Stefan Frei;6' 3\";196 lbs;4.20.1986 (38);Altstätten, Switzerland;Goalkeeper;;Senior;
Ignatius Ganago;5' 10\";161 lbs;2.16.1999 (26);Douala, Cameroon;Forward;;;
Manu García;5' 7\";150 lbs;1.2.1998 (27);Oviedo, Spain;Midfielder;;;
Julian Gaines;5' 10\";146 lbs;11.5.2002 (22);Austin, Texas, USA;Defender;;Supplemental Slots 21-24;
Owen Gene;6' 1\";;3.19.2003 (22);Nanterre, France;Midfielder;;;U22 Initiative, International
Joran Gerbet;5' 11\";163 lbs;6.30.2001 (23);Valence, France;Midfielder;;;
Pedro Gallese;6' 2\";174 lbs;2.23.1990 (35);Lima, Peru;Goalkeeper;Right;Senior;International
Blake Gillingham;;;10.11.2002 (22);San Jose, CA, USA;Goalkeeper;;;
Omar González;6' 5\";207 lbs;10.11.1988 (36);Dallas, TX, USA;Defender;;Supplemental Slots 21-24;
Olivier Giroud;6' 4\";201 lbs;9.30.1986 (38);Chambéry, France;Forward;Left;;
Justen Glad;6' 0\";146 lbs;2.28.1997 (28);Pasadena, AZ, USA;Defender;;Senior;Homegrown
Antonio Gomez;;;12.15.2001 (23);;Defender;;;
;;;;;;;;
Aníbal Godoy;5' 11\";165 lbs;2.10.1990 (35);Panama City, Panama;Midfielder;Left;Senior;
Jakob Glesnes;6' 2\";185 lbs;3.25.1994 (31);Bergen, Norway;Defender;Right;Senior;
Ashton Gordon;;;4.14.2007 (17);Decatur, GA, USA;Forward;;;Homegrown
Yéimar Gomez Andrade;6' 2\";203 lbs;6.30.1992 (32);Tadó, Colombia;Defender;Right;Senior;International
Omari Glasgow;5' 9\";150 lbs;11.22.2003 (21);Georgetown, Guyana;Forward;;;
Zavier Gozo;;;3.22.2007 (18);West Valley City, UT, USA;Midfielder;;;
Aleksandr Guboglo;6' 0\";174 lbs;3.20.2007 (18);Ottawa, ON, Canada;Defender;;;
Justin Haak;6' 0\";165 lbs;9.12.2001 (23);Brooklyn, NY, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Gage Guerra;5' 10\";;12.21.2002 (22);Houston, TX, USA;Forward;;;
Brad Guzan;6' 4\";207 lbs;9.9.1984 (40);Evergreen Park, IL, USA;Goalkeeper;Left;Senior;
Owen Graham-Roache;6' 0\";187 lbs;2.11.2008 (17);Montreal, Canada;Forward;;;
Tayvon Gray;5' 11\";163 lbs;8.19.2002 (22);Bronx, NY, USA;Defender;;Senior;Homegrown
Julian Gressel;6' 0\";185 lbs;12.16.1993 (31);Neustadt an der Aisch, Germany;Defender;Right;Senior;
Stian Gregersen;6' 3\";183 lbs;5.17.1995 (29);Kristiansund, Norway;Defender;Right;Senior;
Colin Guske;6' 0\";;1.29.2007 (18);St. Johns, FL, USA;Midfielder;;;
Nick Hagglund;6' 0\";159 lbs;9.14.1992 (32);Cincinnati, OH, USA;Defender;;Senior;
Taha Habroune;6';;2.5.2006 (19);Columbus, OH, USA;Forward;;;Homegrown
Teenage Hadebe;5' 11\";163 lbs;9.17.1995 (29);Bulawayo, Zimbabwe;Defender;;Senior;Designated Player, International
Nico Hansen;6' 2\";170 lbs;7.10.2001 (23);Southwest Ranches, FL, USA;Goalkeeper;;;
Bret Halsey;5' 9\";150 lbs;6.1.2000 (24);unknown, USA;Defender;;Supplemental Slots 21-24;Generation adidas
Julian Hall;5' 9\";161 lbs;3.24.2008 (17);New York City, NY, USA;Forward;;Supplemental Slots 29-30;Homegrown
Michael Halliday;6' 1\";157 lbs;1.22.2003 (22);Orlando, FL, USA;Defender;;Senior;Homegrown
Belal Halbouni;6' 2\";;12.29.1999 (25);Ontario, Canada;Defender;;;
Alexander Hack;6' 4\";194 lbs;9.8.1993 (31);Memmingen, Germany;Defender;;;
Maren Haile-Selassie;5' 10\";150 lbs;3.13.1999 (26);Zürich, Switzerland;Midfielder;Right;Senior;International
;;;;;;;;
Nathan Harriel;5' 10\";150 lbs;4.23.2001 (23);Oldsmar, Florida, USA;Defender;;Supplemental Slots 25-28;Homegrown
Alex Harris;5' 11\";161 lbs;2.16.2005 (20);Vancouver, WA, USA;Forward;;;
Carlos Harvey;6' 1\";196 lbs;2.3.2000 (25);Panama City, Panama;Defender;;Supplemental Slots 25-28;
Thomas Hasal;6' 4\";190 lbs;7.9.1999 (25);Cambridge, ON, Canada;Goalkeeper;;Senior;Homegrown
Ian Harkes;5' 11\";161 lbs;3.30.1995 (30);Derby, England;Midfielder;;;
Cameron Harper;5' 9\";157 lbs;11.19.2001 (23);unknown, USA;Forward;Right;Senior;
Ronald Hernández;5' 7\";154 lbs;9.21.1997 (27);Barinas, Venezuela;Defender;Right;Senior;International
Aaron Herrera;5' 11\";176 lbs;6.6.1997 (27);Las Cruces, NM, USA;Defender;Right;Senior;Homegrown
Fabian Herbers;6' 0\";165 lbs;8.17.1993 (31);Ahaus, Germany;Midfielder;Right;Senior;
Bode Hidalgo;6' 0\";170 lbs;2.22.2002 (23);Sandy, UT, USA;Defender;;Supplemental Slots 25-28;Homegrown
Jannes Horn;6' 1\";179 lbs;2.6.1997 (28);Braunschweig, Germany;Defender;Left;;
Dominic Iankov;5' 11\";;7.28.2000 (24);Toronto, ON, Canada;Midfielder;;;
Odin Holm;5' 9\";;1.18.2003 (22);Trondheim, Norway;Midfielder;;;
Keegan Hughes;6' 3\";192 lbs;7.22.2000 (24);Newark, OH, USA;Defender;;Ineligible - On Loan;Homegrown
Jayden Hibbert;;;8.5.2004 (20);Teaneck, NJ, USA;Goalkeeper;;;
Andrés Herrera;5' 10\";165 lbs;11.3.1998 (26);Corrientes, Argentina;Defender;;Senior;
Brendan Hines-Ike;6' 1\";170 lbs;11.30.1994 (30);Denver, CO, USA;Defender;;Senior;
Kyle Hiebert;6' 0\";187 lbs;7.30.1997 (27);Winnipeg, Canada;Defender;;Senior;
Bongokuhle Hlongwane;6' 1\";172 lbs;6.20.2000 (24);Nxamalala, South Africa;Forward;Right;Senior;
Aljaz Ivacic;6' 2\";181 lbs;12.29.1993 (31);Ljubljana, Slovenia;Goalkeeper;Right;Senior;International
Sebastien Uchechukwu Ibeagha;6' 2\";187 lbs;1.21.1992 (33);Warri, Nigeria;Defender;;Senior;
Lorenzo Insigne;5' 4\";130 lbs;6.4.1991 (33);Frattamaggiore, Italy;Forward;Right;Senior;International, Designated Player
Mohanad Jeahze;5' 5\";;4.10.1997 (27);Linkoping, Sweden;Defender;Left;Senior;International
Ian James;6' 2\";;6.6.2008 (16);St. Louis Park, MN, USA;Defender;;;Homegrown
Sunusi Ibrahim;5' 6\";176 lbs;10.1.2002 (22);Keffi, Nigeria;Forward;;Senior;International, U22 Initiative
Aziel Jackson;5' 9\";154 lbs;10.25.2001 (23);New York, NY, USA;Midfielder;;Supplemental Slots 25-28;
Aiden Jarvis;;;11.14.2006 (18);;Midfielder;;;
Ousman Jabang;6' 2\";161 lbs;3.29.2001 (24);McDonough, GA, USA;Midfielder;;Supplemental Slots 25-28;
Robin Jansson;6' 2\";192 lbs;11.15.1991 (33);Trollhättan, Sweden;Defender;;Senior;
;;;;;;;;
Danley Jean Jacques;6' 0\";159 lbs;5.20.2000 (24);Petit-Goâve, Haiti;Midfielder;Right;;
Igor Jesus;5' 10\";;3.7.2003 (22);Goiânia, Brazil;Midfielder;;;
Kim Joon Hong;6' 2\";150 lbs;6.3.2003 (21);Jeonju, South Korea;Goalkeeper;;;
Sean Johnson;6' 3\";216 lbs;5.31.1989 (35);Lilburn, GA, USA;Goalkeeper;Right;Senior;
Hoyeon Jung;5' 11\";;9.28.2000 (24);Mokpo, Jeollanam-do, South Korea;Midfielder;;;International
Stiven Jimenez;5' 8\";150 lbs;6.24.2007 (17);unknown, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Sam Junqua;6' 0\";170 lbs;11.9.1996 (28);Saratoga, CA, USA;Defender;;Senior;
Preston Judd;6' 3\";209 lbs;5.28.1999 (25);Las Vegas, NV, USA;Forward;;Supplemental Slots 21-24;
Sang Bin Jeong;5' 9\";168 lbs;4.1.2002 (23);Chungnam, South Korea;Forward;Right;Senior;U22 Initiative, International
Bernard Kamungo;5' 9\";150 lbs;1.1.2002 (23);Kasulu, Tanzania;Forward;;Supplemental Slots 21-24;
Alexandros Katranis;5' 9\";154 lbs;5.4.1998 (26);Volos, Greece;Defender;Left;;
Mathias Jørgensen;6' 2\";174 lbs;4.23.1990 (34);Copenhagen, Denmark;Defender;;;
Sean Karani;;;12.14.2000 (24);Wichita, KS, USA;Midfielder;;;
Henry Kessler;6' 4\";185 lbs;6.25.1998 (26);New York City, NY, USA;Defender;;Senior;
João Klauss;6' 1\";165 lbs;3.1.1997 (28);Criciúma, Brazil;Forward;Right;Senior;Designated Player, International
Mark-Anthony Kaye;6' 1\";170 lbs;12.2.1994 (30);Toronto, ON, Canada;Midfielder;Left;Senior;
Kristijan Kahlina;6' 2\";;7.24.1992 (32);Zagreb, Croatia;Goalkeeper;;Senior;International
Eric Klein;;;11.20.2006 (18);;Midfielder;;;
Kee-hee Kim;6' 2\";172 lbs;7.13.1989 (35);Busan, South Korea;Defender;;;
Mateusz Klich;6' 0\";185 lbs;6.13.1990 (34);Tarnow, Poland;Midfielder;Right;Senior;International
Žan Kolmanič;5' 10\";152 lbs;3.3.2000 (25);Celje, Slovenia;Defender;;Senior;
Stas Korzeniowski;;;;;Forward;;;
Stanislav Lapkes;;;3.3.2006 (19);Minsk, Belarus;Goalkeeper;;;
Luca Langoni;5' 8\";146 lbs;2.9.2002 (23);Buenos Aires, Argentina;Forward;;;U22 Initiative
Diego Konincks;;;11.30.2000 (24);Montfoort, Netherlands;Defender;;;
Sebastian Kowalczyk;5' 7\";119 lbs;8.22.1998 (26);Szczecin, Poland;Midfielder;Right;Supplemental Slots 21-24;International
Lassi Lappalainen;6' 0\";168 lbs;8.24.1998 (26);Espoo, Finland;Midfielder;Right;Senior;International
Willy Kumado;;;10.16.2002 (22);Accra, Ghana;Defender;;;
Damir Kreilach;6' 1\";174 lbs;4.16.1989 (35);Vukovar, Croatia;Midfielder;Right;Senior;International
Nick Lima;5' 9\";176 lbs;11.17.1994 (30);Castro Valley, CA, USA;Defender;;Senior;
;;;;;;;;
Tucker Lepley;5' 4\";;1.17.2002 (23);Charlotte, NC, USA;Forward;;;
